sample,label,predicted
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19077114.mp3,اینجا رو کلا بهش بفروشین,اینجا رو کلا بهش بفروشین
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_29417928.mp3,آیا به زندگی پس از مرگ اعتقاد داری,آیا به زندگیت پس از مرگ اعتقاد داری
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19077720.mp3,در مصاحبه های با یوری کلوچین یکی دیگر از جاسوسان کاگب,در مصاحبه های با یوری کلوچین یکی دیگر از جاسوسان کاگب
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20083057.mp3,خوب حداقل مطمئنیم زنه,خوب حداقل مطمئنیم زنه
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_29512596.mp3,حجم این چیز های چاپ شده حجم این مطبوعات,حجم این چیز های چاپ شده حجم این مطبوعات
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19231321.mp3,فکر می کنم باید چند سوال سخت از خود بپرسیم,فکر می کنم باید چند سوال سخت از خود بپرسیم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19385886.mp3,من برای آزمون زبان آماده هستم,من برای آزمون زبان آماده هستم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20124076.mp3,آن تقریبا نزدیک است,آن تقریبا نزدیک است
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_21576609.mp3,متوجه فاجعه ای محیطی می شوم,متوجه فاجعه ای محیطی می شوم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19254561.mp3,اخه حیا هم واسه ادمیزاد خوب چیزیه,اخه حیا هم واسه ادمیزاد خوب چیزیه
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20442797.mp3,شکر گزاری مبارک,شکر گزاری مبارک
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_18669652.mp3,ولی خیلی هیجان انگیزه,ولی خیلی هیجان انگیزه
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19215293.mp3,بله به تکمیل اهداف توسعه پایدار نزدیک تر می شویم ولی همچنان به قیمت خطر نا پایدار کردن سیاره,بله به تکمیل اهداف توسعه پایدار نزدیک تر می شویم ولی همچنان به قیمت خطر نا پایدار کردن سیاره
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20318397.mp3,این به ترین داستانیه که تابه حال شنیدم,این به ترین داستانیه که تابه حال شنیدم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20165814.mp3,گوگل درک نمی کند دست کم هنوز نکات ظریفی مثل هماهنگی ریز بین قلب و ذهن انسان,گوگل درک نمی کند دست کم هنوز نکات ظریفی مثل هماهنگی ریز بین قلب و ذهن انسان
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_26870332.mp3,تنبیه کردن,تنبیه کردن
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_18613642.mp3,چیه ستاره دنباله دار,چیه ستاره دنباله دار
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_18555064.mp3,تو یه شاهزاده کوچولویی,تو یه شاهزاده کوچولویی
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_18471709.mp3,راه حل های بزرگ مسائل بزرگ مثل خشونت اسلحه,راه حل های بزرگ مسائل بزرگ مثل خشونت اسلحه
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_21202352.mp3,چون تنها به این شکل آزاد خواهید شد,چون تنها به این شکل آزاد خواهید شد
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_18584259.mp3,من که اون وقت ها جوانی بیست و پنج ساله بودم با این یکی هم صدا شدم,من که اون وقت ها جوانی بیست و پنج ساله بودم با این یکی هم صدا شدم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19262125.mp3,وقتی که ناگهان کارمان را از دست می دهیم و تلفن دیگر زنگ نمی خورد,وقتی که ناگهان کارمان را از دست می دهیم و تلفن دیگر زنگ نمی خورد
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19335320.mp3,دنبال کارت تولد می گردم,دنبال کارت تولد می گردم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19674330.mp3,ولی اوج عاطفی ما در میانسالی و فرا تر از آن است,ولی اوج عاطفی ما در میانسالی و فرا تر از آن است
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_18748293.mp3,خیلی خوش هیکل بود نه,خیلی خوش هیکل بود نه
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_35292252.mp3,برجستگی های کوچک روی میزی که رنگ شده است,برجستگی های کوچک روی میزی که رنگ شده است
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_22779339.mp3,فونافوتی,فونافوتی
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19375137.mp3,دنبال خانه دو طبقه می گردم,دنبال خانه دو طبقه می گردم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19422145.mp3,واقعا لازم نیست,واقعا لازم نیست
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20178897.mp3,اینجا مجوز واردات من است,اینجا مجوز واردات من است
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_18810111.mp3,اوه لعنت به تو گلر,اوه وح لعنت به تو گلر
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_20513948.mp3,ممکن است چند تا چینی سفید به من نشان بدهید,ممکن است چند تا چینی سفید به من نشان بدهید
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19232840.mp3,در ادامه مشروح صحبت های کاپیتان تیم ملی والیبال بانوان با خبرنگار ورزش سه را می خوانید,در ادامه مشروح صحبت های کاپیتان تیم ملی والیبال بانوان با خبرنگار ورزش سه را می خوانید
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_23358819.mp3,نصف ماشین ما رو کرده قاب دستمال,نصف ماشین ما را کرده قاب دستمال
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_18293713.mp3,طبق قانون رفتار می کنم,طبق قانون رفتار می کنم
/home/eri-4090/Documents/peyghan/phase2-code/dataset/clips/common_voice_fa_19225244.mp3,نه یه وسیله سرگرمی که,نه یه وسیله سرگرمی که
