original,corrected
قدیمیتر,قدیمی تر
دههها,دهه ها
کردهایم,کرده ایم
دستشان,دست شان
میکشه,می کشه
حالیکه,حالی که
دستهایشان,دست هایشان
کرده_بودند,کرده بودند
میزدند,می زدند
افتاده_بود,افتاده بود
کارخانههای,کارخانه های
اسبداری,اسب داری
آواهای,آوا های
بادوستانتان,با دوستانتان
نمیاد,نمی اد
استعدادهای,استعداد های
برنامهای,برنامه ای
پاهای,پا های
میکردند,می کردند
میدونی,می دونی
میگه,می گه
زنها,زن ها
میکرد,می کرد
تختخواب,تخت خواب
مونیکاست,مونیکا است
جاافتاده,جا افتاده
ناصرالدین,ناصر الدین
نگهداشتند,نگه داشتند
خواهم_ناخن,خواهم ناخن
خواهم_رزرو,خواهم رزرو
میخواهند,می خواهند
مینداخت,می انداخت
چهرههای,چهره های
زده_شد,زده شد
شده_بودیم,شده بودیم
حلقهی,حلقه ی
ایفلند,ایفل اند
بالاترین,بالا ترین
جایزهی,جایزه ی
اینقدر,این قدر
برگهای,برگهای
چسبپوش,چسب پوش
میگین,می گین
کمکتون,کمک تون
نهانتر,نهان تر
مىداند,مى داند
دلنشینی,دل نشینی
داشته_باشی,داشته باشی
سیگارتونو,سیگار تون رو
نمیکند,نمی کند
دستکم,دست کم
پرنقص,پر نقص
خواهم_کرد,خواهم کرد
توصیههای,توصیه های
میتوانید,می توانید
آنرا,آن را
بهترین,به ترین
پیامرسان,پیام رسان
میرساند,می رساند
نشانهای,نشانه ای
نمیتونم,نمی تونم
دستهارو,دست ها رو
روزشو,روزش رو
روزهای,روز های
زندانیها,زندانی ها
خانوادهام,خانواده ام
میآمدند,می آمدند
میدانستم,می دانستم
خسته_شدم,خسته شدم
مخمرها,مخمر ها
قندهای,قند های
میکنند,می کنند
بیخطر,بی خطر
میگفتند,می گفتند
آنهایی,آن هایی
مهارتهای,مهارت های
نمیآموزند,نمی آموزند
حلهای,حل های
مدرسهی,مدرسه ی
دوسال,دو سال
زودتر,زود تر
سردتر,سرد تر
شوهرجان,شوهر جان
میگفت,می گفت
میکشید,می کشید
میکنیم,می کنیم
میسازم,می سازم
راههای,راه های
موسسهی,موسسه ی
میرسی,می رسی
بیمسئولیت,بی مسئولیت
آرامشبخش,آرامش بخش
نمیکنم,نمی کنم
میداشتیم,می داشتیم
اینها,این ها
میتوانند,می توانند
فرصتهای,فرصت های
کمتر,کم تر
دوتا,دو تا
میشنوید,می شنوید
نمردیمو,نمردیم و
نرمافزار,نرم افزار
زیرزمینی,زیر زمینی
مادره,مادر
انداخته_بود,انداخته بود
میشدم,می شدم
همسرعزیزم,همسر عزیزم
میمرد,می مرد
درخشانترین,درخشان ترین
پراستعداد,پر استعداد
میریم,می ریم
میشیم,می شیم
رویاهاشو,رویا هاش رو
نمیترسم,نمی ترسم
کشتیهایشان,کشتی ها ی شان
نمیکنه,نمی کنه
تکنفره,تک نفره
میشوید,می شوید
میتوانیم,می توانیم
بهرهمند,بهره مند
کمکشان,کمک شان
مراشرم,مرا شرم
میتونی,می تونی
درحالیکه,در حالی که
شوهرش,شوهر ش
بچههارا,بچه ها را
شنیدهاید,شنیده اید
اشتیاقترین,اشتیاق ترین
دوجنسه,دو جنسه
طرحهای,طرح های
کردنو,کردن و
موثرشان,موثر شان
خواهیم_من,خواهیم من
اینطوری,این طوری
سازهای,ساز های
نیازمند,نیاز مند
سرمایهگذاری,سرمایه گذاری
کمتری,کم تر ی
ساقهای,ساقهای
نظرخواهی,نظر خواهی
شده_بود,شده بود
دوستمو,دوستم رو
بزودی,به زودی
بدعهدی,بد عهدی
پرطنین,پر طنین
پدرش,پدر ش
بلندبالا,بلند بالا
نظامنامه,نظام نامه
افتاده_است,افتاده است
نامطمئن,نا مطمئن
شدهایم,شده ایم
میپوسد,می پوسد
میخواهم,می خواهم
حسابتو,حسابت رو
سالمندان,سال مند ان
بهتری,به تر ی
شدهی,شده ی
میخواست,می خواست
بوجود,به وجود
خواهم_بعد,خواهم بعد
نامعلومی,نا معلومی
میدارد,می دارد
دنیای,دنیا ی
میبینید,می بینید
میدم,می دم
نرمافزارهای,نرم افزار ها ی
هلیکوپتر,هلی کوپتر
گفتنشون,گفتن شون
آوردنشون,آوردن شون
درآمده,در آمده
شبکهی,شبکه ی
کنندهای,کننده ای
رودها,رود ها
آبراهها,آبراه ها
خودشان,خود شان
کردنشان,کردن شان
نمیگیرد,نمی گیرد
کندرو,کند رو
سالها,سال ها
نکردهایم,نکرده ایم
میخواندم,می خواندم
میدیدم,می دیدم
نوشتهام,نوشته ام
شماها,شما ها
باورنکردنی,باور نکردنی
پلهها,پله ها
بیچربی,بی چربی
رفتهاند,رفته اند
میدن,می دن
خبردار,خبر دار
تذكردهندهاى,تذكر دهنده اى
موهای,مو های
لکهای,لکهای
میبرد,می برد
نمونهی,نمونه ی
روکه,رو که
میرسونه,می رسونه
بداخلاقی,بد اخلاقی
جمعآوری,جمع آوری
هیچوقت,هیچ وقت
لباسارو,لباسا رو
میشورن,می شورن
برمیگرده,بر میگرده
برگردد,بر گردد
آپارتمانمون,آپارتمان مون
اشتراکگذاری,اشتراک گذاری
دیدگاههای,دیدگاه ها ی
هتلهای,هتل ها ی
کشورهای,کشور ها ی
چشمهات,چشم هات
همنشینان,هم نشینان
همپیالههایتان,هم پیاله ها یتان
تخممرغی,تخم مرغی
میباشد,می باشد
خسته_بودم,خسته بودم
رختخواب,رخت خواب
ایوونتون,ایوون تون
قلمتراشی,قلم تراشی
اینجاست,این جاست
میخوندم,می خوندم
داشته_باشم,داشته باشم
بیشتری,بیش تر ی
خیلیها,خیلی ها
آنگونه,آن گونه
پسرش,پسر ش
میگیرد,می گیرد
میرود,می رود
میایستد,می ایستد
نمیتوانم,نمی توانم
مهمانیها,مهمانی ها
میدونم,می دونم
پرهای,پر های
میگذارند,می گذارند
بانام,با نام
فیکنیوز,فیک نیوز
میشناسند,می شناسند
بانمکی,با نمکی
آشپرخونه,آشپز خونه
حرکتها,حرکت ها
سنسورهای,سنسور های
زیباترین,زیبا ترین
دوختها,دوخت ها
گلدوزی,گل دوزی
میشویم,می شویم
میمانیم,می مانیم
ادعاهایش,ادعا ها یش
اینکار,این کار
خواهم_؛,خواهم 
چنگتون,چنگ تون
ثروتمند,ثروت مند
میخواهید,می خواهید
رویاییتان,رویایی تان
هدفشان,هدف شان
بازتوانمندی,باز توان مند ی
نمیتوانیم,نمی توانیم
میمانند,می مانند
جیگرتو,جیگرت رو
باتمام,با تمام
کشورها,کشور ها
میتوان,می توان
جامعهای,جامعه ای
میشمارد,می شمارد
آمادهام,آماده ام
پدربزرگم,پدر بزرگم
پردههای,پرده های
صداهای,صدا های
حلشده,حل شده
همهاش,همه اش
طردشدگی,طرد شدگی
درکار,در کار
نمیگن,نمی گن
ریاکار,ریا کار
خواهد_آمد,خواهد آمد
بازگشتهاید,بازگشته اید
پیرایههای,پیرایه های
سالهای,سال های
سالهام,سالهام
بالاتر,بالا تر
نادرستی,نا درستی
رفتهایم,رفته ایم
برروی,بر روی
درآوردن,در آوردن
چیزهای,چیز های
گامهای,گام های
شایعهای,شایعه ای
سرریز,سر ریز
درگیریها,درگیری ها
فیبرها,فیبر ها
نمیداد,نمی داد
دربازه,در بازه
پهناورترین,پهناور ترین
نوشته_است,نوشته است
همنسلانش,هم نسل انش
درواقع,در واقع
اینهمه,این همه
میخواد,می خواد
خواهیم_مرد,خواهیم مرد
لذتبخش,لذت بخش
برقرار,بر قرار
پیرمرد,پیر مرد
حیلهگر,حیله گر
میدانید,می دانید
نمیشیم,نمی شیم
تحصیلاتو,تحصیلات رو
شده_اند,شده اند
سوپرلیگ,سوپر لیگ
سرویسهای,سرویس ها ی
کردهاید,کرده اید
ماهیخوار,ماهی خوار
ندزدیده_است,ندزدیده است
مینویسم,می نویسم
پررو,پر رو
دستشو,دستش رو
میگوید,می گوید
خبررسانی,خبر رسانی
رخدادها,رخداد ها
سامانمند,سامان مند
موهات,مو ها ت
راهآهن,راه آهن
پوشیده_است,پوشیده است
میروند,می روند
برمیگردند,بر می گردند
دلارمون,دلار مون
میخان,می خان
خودتون,خود تون
تغییرهایی,تغییر ها یی
خواهید_بخشید,خواهید بخشید
علفها,علف ها
ساقههای,ساقه های
میکشی,می کشی
دونشون,دو نشون
آبنگاری,آب نگاری
جیکجیک,جیک جیک
نمیپرسیدی,نمی پرسیدی
خاندایی,خان دایی
نمیمونه,نمی مونه
میدانیم,می دانیم
روشهایی,روش هایی
هماکنون,هم اکنون
سازمانها,سازمان ها
نمیکنند,نمی کنند
چهارشنبه,چهار شنبه
ثروتمندان,ثروت مندان
باحتمال,به احتمال
قویتری,قوی تر ی
میشوند,می شوند
جهانیو,جهانی رو
دیده_باشد,دیده باشد
هرگونه,هر گونه
خواهند_زد,خواهند زد
توفانی,طوفانی
میترسم,می ترسم
آمده_بود,آمده بود
انگیزهی,انگیزه ی
اندیشههای,اندیشه های
واسطهی,واسطه ی
خواهیم_کرد,خواهیم کرد
پرداخته_است,پرداخته است
نمیشود,نمی شود
افتاده_ام,افتاده ام
درآوردند,در آوردند
جمعشد,جمع شد
نکرده_بودند,نکرده بودند
یکبار,یک بار
خواهم_سفیر,خواهم سفیر
میارمش,می ارمش
وضعیتمان,وضعیت مان
سایتها,سایت ها
کانالهای,کانال ها ی
صرافیها,صرافی ها
درآوردم,در آوردم
چالشها,چالش ها
بقوت,به قوت
اسعدالدین,اسعد الدین
پیرتر,پیر تر
نخریدهام,نخریده ام
میپرسند,می پرسند
آهنگها,آهنگ ها
آهوها,آهو ها
روشنتر,روشن تر
نبودی٬لااقل,نبودی لااقل
میفته,می افته
میگرفتم٬,می گرفتم 
نظرتون,نظر تون
کوهنورد,کوه نورد
مشهورترين,مشهور ترين
تکنيکهاست,تکنيک ها ست
میخواهيد,می خواهيد
میترسه,می ترسه
غیبتهای,غیبت های
نمیفهمیدم,نمی فهمیدم
ناامیدیشونو,نا امیدی شون رو
امافک,اما فکر
نمیکردم,نمی کردم
روبهروی,رو به روی
بازیشونه,بازی شونه
العسریسرا,العسر یسرا
سرمایهگذاران,سرمایه گذاران
کنشگر,کنش گر
عقدشون,عقد شون
اجازهی,اجازه ی
ایدههای,ایده های
عکسالعمل,عکس العمل
دادهاند,داده اند
اونها,اون ها
بحرحال,به هر حال
شرکتهایی,شرکت ها یی
میگویم,می گویم
نمیدانستیم,نمی دانستیم
گذاشته_است,گذاشته است
چندباری,چند باری
چندمیلیونی,چند میلیونی
میمونه,می مونه
میره,می ره
نمیتوانند,نمی توانند
مخارجشان,مخارج شان
ملتهای,ملت های
داشته_بودند,داشته بودند
آنتیبادی,آنتی بادی
نوشیدنیهای,نوشیدنی های
ارادهی,اراده ی
نفوذها,نفوذ ها
دگرگونیهای,دگرگونی های
ملاحظهای,ملاحظه ای
منطقهای,منطقه ای
زمینشناختی,زمین شناختی
پیتزاست,پیتزا ست
تاشب,تا شب
شمرده_باشم,شمرده باشم
صداتون,صدا تون
ناپدری,نا پدری
جادهها,جاده ها
تشکلهای,تشکل های
شده_بودم,شده بودم
زده_بودیم,زده بودیم
کرده_بودیم,کرده بودیم
گزینههای,گزینه های
سیاستها,سیاست ها
موثرترین,موثر ترین
وسیلهی,وسیله ی
چیزهایی,چیز ها یی
هایی,هایی
فرداهم,فردا هم
بدترين,بد ترين
ميتونه,مي تونه
ميخوام,مي خوام
انها,آن ها
بلیتها,بلیت ها
داشته_باشیم,داشته باشیم
آماده_ای,آماده ای
جهانگردان,جهان گردان
نرفته_ام,نرفته ام
خواهم_بود,خواهم بود
ماجهنم,ما جهنم
مادربزرگم,مادر بزرگم
زمینهایی,زمین هایی
داده_شده_است,داده شده است
تازهترین,تازه ترین
باکلاس,با کلاس
سانگها,سانگ ها
واماندههای,وامانده های
آیندهای,آینده ای
آفریقاست,آفریقا ست
شنگههای,شنگه ها ی
شدهام,شده ام
گیریهای,گیری های
پایینها,پایین ها
بیراه,بی راه
کارآفرینان,کار آفرینان
نیازهای,نیاز ها ی
خریده_بودیم,خریده بودیم
نگفته_است,نگفته است
شبزندهداری,شب زنده داری
درمورد,در مورد
آیندهشان,آینده شان
دیدهاید,دیده اید
صافکن,صاف کن
زدو,زد و
باهم,با هم
همینکارو,همینکار رو
خواهم_پیوست,خواهم پیوست
گروههای,گروه های
فعالشان,فعال شان
غذامو,غذام رو
سرتاسربدن,سرتاسر بدن
آشپزخونه,آشپز خونه
ارائهای,ارائه ای
دربیاورد,در بیاورد
دستنخورده,دست نخورده
نمیخواهند,نمی خواهند
کرده_است,کرده است
دستخوش,دست خوش
قدرتمند,قدرت مند
وقتها,وقت ها
روزها,روز ها
بازارپردازی,بازار پردازی
نیاوردهاند,نیاورده اند
نکردهاند,نکرده اند
کارهای,کار های
میگرفت,می گرفت
پيرزن,پير زن
همسایهات,همسایه ات
شدهاند,شده اند
میدانم,می دانم
میافته,می افته
لبخندشان,لبخند شان
میدیدید,می دیدید
چشمانشان,چشمان شان
زده_بودند,زده بودند
رویاهایت,رویا ها یت
سرپوشیده,سر پوشیده
خیارشور,خیار شور
بازیرو,بازی رو
میزنن,می زنن
صدایشان,صدای شان
شنیده_شود,شنیده شود
گلخانهای,گلخانه ای
چندتاشون,چند تا شون
شکسته_است,شکسته است
مادرشوهر,مادر شوهر
جاباخودش,جا با خودش
جاییکه,جایی که
میدهید,می دهید
نمیدم,نمی دم
نمیتونیم,نمی تونیم
لیسانسمو,لیسانسم رو
حاضردر,حاضر در
سازمانهای,سازمان های
درهای,در ها ی
فراتر,فرا تر
میگذشت,می گذشت
لامپهای,لامپ های
میدادن,می دادن
نظرتو,نظرت رو
پیادهروی,پیاده روی
زانوهایم,زانو ها یم
نمیکرد,نمی کرد
نابرابری,نا برابری
تنددعوا,تند دعوا
تندتند,تند تند
شکستشو,شکستش رو
مدلسازان,مدل سازان
جوابشو,جوابش رو
مادربزرگت,مادر بزرگت
خالتو,خالت رو
میدهیم,می دهیم
شوهرمون,شوهر مون
خواهند_خاست,خواهند خاست
میدانی,می دانی
برخواهم,بر خواهم
میدویدم,می دویدم
قرنها,قرن ها
راکتهای,راکت های
فضاپیمای,فضا پیما ی
آمادهای,آماد های
سختتر,سخت تر
وابسته_است,وابسته است
منظورانجام,منظور انجام
جوابگویی,جواب گویی
تماسهایی,تماس هایی
کنشگرها,کنشگر ها
میکردی,می کردی
برگردم,بر گردم
سبزتر,سبز تر
خواهد_شد,خواهد شد
نمیامد,نمی آمد
خسته_شدی,خسته شدی
هشتصد,هشت صد
خواهم_شما,خواهم شما
میبارد,می بارد
کشیده_است,کشیده است
میروم,می روم
هزارتومان,هزار تومان
جادهی,جاده ی
نخستوزیر,نخست وزیر
طوریکه,طوری که
درآخر,در آخر
پیامگذاری,پیام گذاری
گلدانها,گلدان ها
کرده_باشم,کرده باشم
حرفهایش,حرف هایش
برنامهی,برنامه ی
میخوانی,می خوانی
حرفها,حرف ها
میرسید,می رسید
بردهاند,برده اند
خطرهای,خطر های
زیستمحیطی,زیست محیطی
شرکتهای,شرکت های
جمعآوریکننده,جمع آوری کننده
میخاد,می خاد
اينطور,اين طور
داشته_بود,داشته بود
سلولهای,سلول های
روابطشون,روابط شون
اندامها,اندام ها
سُکسُک,سُک سُک
میزند,می زند
خودشون,خود شون
میدیم,می دیم
پرانرژی,پر انرژی
خسته_ام,خسته ام
آموخته_بود,آموخته بود
سینهاش,سینه اش
سردتو,سردت رو
نمیگی,نمی گی
روغنمون,روغن مون
سلامتتان,سلامت تان
سالمند,سال مند
خدابه,خدا به
خواهد_امدبه,خواهد امد به
یانه,یا نه
ازخدا,از خدا
فوقالعاده,فوق العاده
میوههایشان,میوه ها ی شان
خواهید_شناخت,خواهید شناخت
روزابارونی,روزا بارونی
خداازشون,خدا ازشون
امینرضا,امین رضا
میگفتی,می گفتی
پیداتون,پیدا تون
همپیمان,هم پیمان
الگوها,الگو ها
روندهایی,روند ها یی
میخوای,می خوای
شرکتتان,شرکت تان
میمیرم,می میرم
میبینه,می بینه
نشسته_بودیم,نشسته بودیم
میخوردیم,می خوردیم
تابحال,تا به حال
مراقبتهای,مراقبت های
همصدا,هم صدا
افسرده_شدم,افسرده شدم
نابغههای,نابغه های
جوانشان,جوان شان
بحق,به حق
آرزوها,آرزو ها
امیدهای,امید های
نمیخوای,نمی خوای
مىشود,می شود
مىگيرد,مي گيرد
ارزندهتر,ارزنده تر
نمیریم,نمی ریم
دندوناشو,دندوناش رو
نمیشمرند,نمی شمرند
کفشها,کفش ها
پلاستیکها,پلاستیک ها
ماجراهایی,ماجرا ها یی
میخواره,می خواره
میتونه,می تونه
براحتی,به راحتی
رشتهی,رشته ی
میشینه,می شینه
داروهای,دارو ها ی
روشهای,روش ها ی
میشنوه,می شنوه
لباسهای,لباس ها ی
مادرشوهرمحترم,مادر شوهر محترم
فرماشده,فرما شده
خواهد_بود,خواهد بود
میدونستید,می دونستید
موفقترین,موفق ترین
خواهند_آموخت,خواهند آموخت
رنگینپوست,رنگین پوست
میدانند,می دانند
مدلهای,مدل های
واردكننده,وارد كننده
میده,می ده
ننوشته_بودم,ننوشته بودم
برونیابیها,برونیابی ها
شبیهسازیهایی,شبیهسازی هایی
پیشبینی,پیش بینی
میگشتم,می گشتم
میومدی,می اومدی
خواهد_داشت,خواهد داشت
خواهند_.,خواهند 
خانهی,خانه ی
نمیآید,نمی آید
دیده_بودند,دیده بودند
میپرسیدم,می پرسیدم
خواهید_؟,خواهید ؟
اینطور,این طور
پایتختها,پایتخت ها
شهرهای,شهر های
میومدن,می اومدن
میگفتن,می گفتن
توانمندی,توان مند ی
مرزهای,مرز ها ی
سیارهای,سیار ها ی
میبوسم,می بوسم
خواهد_ماند,خواهد ماند
دیدهای,دید های
همهجا,همه جا
کشیدهاند,کشیده اند
ندیده_بود,ندیده بود
بیماریهای,بیماری های
سینههای,سینه های
عملکردشان,عملکرد شان
حافظهی,حافظه ی
رباتها,ربات ها
همگامسازی,همگام سازی
زده_است,زده است
بازخواهند,باز خواهند
دربازکن,در باز کن
دیده_شوید,دیده شوید
راهحلهای,راه حل های
چیکاره,چی کاره
ماههاست,ماه هاست
یاوهگویی,یاوه گویی
دیگهای,دیگه ای
همانقدر,همان قدر
شده_بودی,شده بودی
نرفتهام,نرفته ام
ماموریتشان,ماموریت شان
کنارشان,کنار شان
داشتهاید,داشته اید
وتنها,و تنها
دخترمو,دخترم رو
رویاهایی,رویا ها یی
ماسهای,ماسه ای
تپهزار,تپه زار
خاکهای,خاک های
میوههای,میوه ها ی
آماده_است,آماده است
ایرانو,ایران رو
میرقصیدن,می رقصیدن
میکردن,می کردن
پیشاهنگی,پیش اهنگی
ودیگه,و دیگه
درمیون,در میون
نمیرم,نمی رم
گفته_بود,گفته بود
کلیهی,کلیه ی
مادرمنم,مادر منم
فراگیرتر,فراگیر تر
میدهم,می دهم
سیستمعامل,سیستم عامل
ماشینها,ماشین ها
دستگاههای,دستگاه های
تلفنها,تلفن ها
رایانهها,رایانه ها
میای,می ای
میشوی,می شوی
هیپسترها,هیپستر ها
مشتریها,مشتری ها
پایینتره,پایین تره
ستارهشناسم,ستاره شناسم
غافلگیرکرد,غافلگیر کرد
بهوسیله,به وسیله
برمیدارد,بر می دارد
ریشسفید,ریش سفید
بیشهای,بیشهای
تلنگور,تلنگر
فاجعهای,فاجعه ای
میشوم,می شوم
خواهم_بوستان,خواهم بوستان
احمدینژاد,احمدی نژاد
داده_است,داده است
آهنپوش,آهن پوش
سرمایهگذار,سرمایه گذار
بسته_شد,بسته شد
نامناسب,نا مناسب
بیوتکنولوژی,بیو تکنولوژی
وپروانه,و پروانه
خاطرهای,خاطر ها ی
برجا,بر جا
انگیزههای,انگیزه های
روزهاست,روز ها ست
خواهند_گفت,خواهند گفت
قولهایمان,قول ها ی مان
نمیکنیم,نمی کنیم
دورافتاده,دور افتاده
بهدروغ,به دروغ
خالیهای,خالی های
خودتونو,خودتون رو
نمیتونین,نمی تونین
هرچی,هر چی
سرکلاس,سر کلاس
خونهت,خونه ت
لحافدوزی,لحاف دوزی
چالشانگیز,چالش انگیز
اونارو,اونا رو
نامربوط,نا مربوط
فقیرترین,فقیر ترین
کوچکترین,کوچک ترین
دردنکنه,درد نکنه
هیجانانگیز,هیجان انگیز
برگردین,بر گردین
میداریم,می داریم
تیمهای,تیم های
موثرتر,موثر تر
موفقتر,موفق تر
چارهای,چار ها ی
نمیتوانستم,نمی توانستم
نزدیکترین,نزدیک ترین
خواهم_،,خواهم 
پتانسیلهای,پتانسیل های
تانکهای,تانک های
نمیتواند,نمی تواند
عمدهی,عمده ی
بهدست,به دست
میپنداشتم,می پنداشتم
حرفهای,حرف های
نامعین,نا معین
آبهای,آب های
حیلههای,حیله های
اظهارنظر,اظهار نظر
رشوهگیری,رشوه گیری
بطورهمزمان,به طور همزمان
معصومتر,معصوم تر
بااینحال,با این حال
میگذاشت,می گذاشت
خواهم_کمی,خواهم کمی
چرابهش,چرا بهش
جلگهای,جلگه ای
برمیگردد,بر می گردد
فرهنگها,فرهنگ ها
یادآوریهای,یاد آوری های
تکههای,تکه های
نمیخرم,نمی خرم
تجربهاش,تجربه اش
کنکوراز,کنکور از
میرسم,می رسم
میزنم,می زنم
تواین,تو این
جزخوابیدن,جز خوابیدن
میدارم,می دارم
اماتو,اما تو
دخترها,دختر ها
کهنترین,کهن ترین
تمدنها,تمدن ها
پیغامهامون,پیغام ها مون
میلیونها,میلیون ها
رنگهای,رنگ های
صدها,صد ها
شده_بودند,شده بودند
هارو,ها رو
میاره,می اره
شلوارو,شلوار رو
میکردین,می کردین
میشید,می شید
کشانده_است,کشانده است
ميتونست,مي تونست
خواهید_یا,خواهید یا
دوقلو,دو قلو
هفتهای,هفته ای
چهرهی,چهره ی
محمدشهر,محمد شهر
نرمافزارها,نرمافزار ها
نمیآورم,نمی آورم
برده_است,برده است
علاقهی,علاقه ی
میپرسید,می پرسید
ازاین,از این
ازشغلشون,از شغلشون
ومحکوم,و محکوم
گانگسترهای,گانگستر های
والاستریت,وال استریت
خواهید_گشت,خواهید گشت
نخواهید_کرد,نخواهید کرد
دغدغههایمان,دغدغه ها ی مان
میپوشد,می پوشد
ثبتکنندهی,ثبت کننده ی
قبالهها,قباله ها
میداند,می داند
صحيفههاى,صحيفه هاى
ارائهدهنده,ارائه دهنده
پرسشها,پرسش ها
هزینههای,هزینه های
دادههای,داده های
نوشته_شده_است,نوشته شده است
میخونهها,میخونه ها
بدنبال,به دنبال
میگردم,می گردم
ماسکهای,ماسک های
زدهاند,زده اند
مسابقهای,مسابقه ای
سرخابها,سرخاب ها
خرچنگها,خرچنگ ها
میگذارد,می گذارد
میزارم,می زارم
لبهام,لب هام
ذاتالریه,ذات الریه
پدربزرگش,پدر بزرگش
کردهاند,کرده اند
میایم,می ایم
میزبانها,میزبان ها
میدویدی,می دویدی
بااینکه,با این که
میدونسته,می دونسته
امیدوارکننده,امیدوار کننده
برمیافرازم,بر می افرازم
مهلتهای,مهلت های
بهترتر,به تر تر
پرههای,پره های
بستانهای,بستان های
ناسازگار,نا سازگار
واژههای,واژه های
ملایمتر,ملایم تر
خواهد_کشید,خواهد کشید
اماهمیشه,اما همیشه
اظهارنظرپرداختن,اظهار نظر پرداختن
میترساند,می ترساند
سواستفاده,سو استفاده
بخشهای,بخش های
غیرضروری,غیر ضروری
فروخته_شده_اند,فروخته شده اند
نداشته_باشد,نداشته باشد
نمیتونی,نمی تونی
سرکوچه,سر کوچه
زیادتر,زیاد تر
نخواهد_داد,نخواهد داد
میذاری,می ذاری
شده_باشیم,شده باشیم
سخاوتمند,سخاوت مند
آماده_شد,آماده شد
خواهید_گرفت,خواهید گرفت
شهرها,شهر ها
میدرخشند,می درخشند
قصابیها,قصابی ها
موجوداست,موجود است
پرجمعیتترین,پر جمعیت ترین
